Description,Invoice ,Item ,Qty,Unit Price,Discount,Total
Invoice 3-456-1 Data 1,3-456-1,1,,$1.00 ,$1.00 ,$0.00 
Invoice 3-456-1 Data 2,3-456-1,2, uyu ,$2.00 ,$2.00 ,$2.00 
Invoice 3-456-1 Data 3,3-456-1,3, ui ,$3.00 ,$3.00 ,$6.00 
Invoice 3-456-1 Data 4,3-456-1,4, uiui ,$4.00 ,$4.00 ,$12.00 
Invoice 3-456-1 Data 5,3-456-1,5,,$5.00 ,$5.00 ,$20.00 
Invoice 3-456-1 Data 6,3-456-1,6, ioio ,$6.00 ,$6.00 ,$30.00 
Invoice 3-456-1 Data 7,3-456-1,7, ioio ,$7.00 ,$7.00 ,$42.00 
Invoice 3-456-1 Data 8,3-456-1,8, oi ,$8.00 ,$8.00 ,$56.00 
Invoice 3-456-1 Data 9,3-456-1,9, qwe ,$9.00 ,$9.00 ,$72.00 
Invoice 3-456-1 Data 10,3-456-1,10,,$10.00 ,$10.00 ,$90.00 
Invoice 3-456-1 Data 11,3-456-1,11, qwe ,$11.00 ,$11.00 ,$110.00 
Invoice 3-456-1 Data 12,3-456-1,12, ere ,$12.00 ,$12.00 ,$132.00 
Invoice 3-456-1 Data 13,3-456-1,13, rty ,$13.00 ,$13.00 ,$156.00 
Invoice 3-456-1 Data 14,3-456-1,14, uyu ,$14.00 ,$14.00 ,$182.00 
Invoice 3-456-1 Data 15,3-456-1,15,,$15.00 ,$15.00 ,$210.00 
Invoice 3-456-1 Data 16,3-456-1,16, uiui ,$16.00 ,$16.00 ,$240.00 
Invoice 3-456-1 Data 17,3-456-1,17, ioio ,$17.00 ,$17.00 ,$272.00 
Invoice 3-456-1 Data 18,3-456-1,18, ioio ,$18.00 ,$18.00 ,$306.00 
Invoice 3-456-1 Data 19,3-456-1,19, ioio ,$19.00 ,$19.00 ,$342.00 
Invoice 3-456-1 Data 20,3-456-1,20,,$20.00 ,$20.00 ,$380.00 
Invoice 3-456-1 Data 21,3-456-1,21, rty ,$21.00 ,$21.00 ,$420.00 
Invoice 3-456-1 Data 22,3-456-1,22,,$22.00 ,$22.00 ,$462.00 
Invoice 3-456-1 Data 23,3-456-1,23, ui ,$23.00 ,$23.00 ,$506.00 
Invoice 3-456-1 Data 24,3-456-1,24, uiui ,$24.00 ,$24.00 ,$552.00 
Invoice 3-456-1 Data 25,3-456-1,25, ioio ,$25.00 ,$25.00 ,$600.00 
Invoice 3-456-2 Data 1,3-456-2,Z4567, ioio ,$5.00 ,,$195.00 
Invoice 3-456-2 Data 2,3-456-2,Z4568, ioio ,$4.00 ,$5.00 ,$155.00 
Invoice 3-456-2 Data 3,3-456-2,Z4569, oi ,$6.00 ,$7.00 ,$173.00 
Invoice 3-456-2 Data 4,3-456-2,Z4570, qwe ,$7.00 ,,$280.00 
Invoice 3-456-2 Data 5,3-456-2,Z4571, ere ,$4.00 ,,$40.00 
Invoice 3-456-2 Data 6,3-456-2,Z4572, qwe ,S,,#VALUE!
Invoice 3-456-2 Data 7,3-456-2,Z4573, ere ,$6.00 ,,$420.00 
Invoice 3-456-2 Data 8,3-456-2,Z4574, rty ,$4.00 ,,$100.00 
Invoice 3-456-2 Data 9,3-456-2,Z4575, uyu ,$7.00 ,$3.00 ,$32.00 
Invoice 3-456-2 Data 10,3-456-2,Z4576, ui ,$1.00 ,,$80.00 
Invoice 3-456-2 Data 11,3-456-2,Z4577, uiui ,$7.00 ,,$455.00 
Invoice 3-456-2 Data 12,3-456-2,Z4578, ioio ,$1.00 ,,$44.00 
Invoice 3-456-1 Data 2,3-456-1,2, ioio ,$2.00 ,$2.00 ,$2.00 
Invoice 3-456-1 Data 3,3-456-1,3, ioio ,$3.00 ,$3.00 ,$6.00 
